product_id,product_name,category,sub_category,cost_price,retail_price,is_active
PROD_545,Ergonomic Chair (Standard),Home & Living,Ergonomic Chair,177.2,246.78,1
PROD_546,Ergonomic Chair (Pro),Home & Living,Ergonomic Chair,131.92,209.69,1
PROD_547,Ergonomic Chair (Lite),Home & Living,Ergonomic Chair,14.77,20.21,1
PROD_548,Ergonomic Chair (Premium),Home & Living,Ergonomic Chair,31.12,54.38,1
PROD_549,Desk Mat (Standard),Home & Living,Desk Mat,81.68,112.15,1
PROD_550,Desk Mat (Pro),Home & Living,Desk Mat,9.81,19.6,1
PROD_551,Desk Mat (Lite),Home & Living,Desk Mat,82.45,148.84,1
PROD_552,Desk Mat (Premium),Home & Living,Desk Mat,74.94,157.7,1
PROD_553,Aroma Diffuser (Standard),Home & Living,Aroma Diffuser,65.76,123.16,1
PROD_554,Aroma Diffuser (Pro),Home & Living,Aroma Diffuser,173.47,309.23,1
PROD_555,Aroma Diffuser (Lite),Home & Living,Aroma Diffuser,55.94,121.11,1
PROD_556,Aroma Diffuser (Premium),Home & Living,Aroma Diffuser,107.73,171.31,1
PROD_557,Ceramic Mug (Standard),Home & Living,Ceramic Mug,77.65,170.75,1
PROD_558,Ceramic Mug (Pro),Home & Living,Ceramic Mug,107.51,152.68,1
PROD_559,Ceramic Mug (Lite),Home & Living,Ceramic Mug,83.6,149.13,1
PROD_560,Ceramic Mug (Premium),Home & Living,Ceramic Mug,62.43,88.9,1
PROD_561,LED Desk Lamp (Standard),Home & Living,LED Desk Lamp,174.25,375.16,1
PROD_562,LED Desk Lamp (Pro),Home & Living,LED Desk Lamp,106.19,225.46,1
PROD_563,LED Desk Lamp (Lite),Home & Living,LED Desk Lamp,147.44,317.9,1
PROD_564,LED Desk Lamp (Premium),Home & Living,LED Desk Lamp,35.77,77.5,1
PROD_565,Sunscreen SPF50 (Standard),Beauty & Care,Sunscreen SPF50,10.44,16.38,1
PROD_566,Sunscreen SPF50 (Pro),Beauty & Care,Sunscreen SPF50,127.18,250.95,0
PROD_567,Sunscreen SPF50 (Lite),Beauty & Care,Sunscreen SPF50,57.45,103.84,1
PROD_568,Sunscreen SPF50 (Premium),Beauty & Care,Sunscreen SPF50,77.77,116.17,0
PROD_569,Hydrating Serum (Standard),Beauty & Care,Hydrating Serum,154.77,274.5,1
PROD_570,Hydrating Serum (Pro),Beauty & Care,Hydrating Serum,47.09,85.34,1
PROD_571,Hydrating Serum (Lite),Beauty & Care,Hydrating Serum,96.61,211.74,1
PROD_572,Hydrating Serum (Premium),Beauty & Care,Hydrating Serum,71.81,144.07,1
PROD_573,Clay Mask (Standard),Beauty & Care,Clay Mask,74.14,121.95,1
PROD_574,Clay Mask (Pro),Beauty & Care,Clay Mask,142.47,250.97,1
PROD_575,Clay Mask (Lite),Beauty & Care,Clay Mask,107.16,175.82,1
PROD_576,Clay Mask (Premium),Beauty & Care,Clay Mask,48.99,75.48,1
PROD_577,Hair Treatment Oil (Standard),Beauty & Care,Hair Treatment Oil,52.87,71.78,1
PROD_578,Hair Treatment Oil (Pro),Beauty & Care,Hair Treatment Oil,95.91,165.8,0
PROD_579,Hair Treatment Oil (Lite),Beauty & Care,Hair Treatment Oil,106.25,221.42,1
PROD_580,Hair Treatment Oil (Premium),Beauty & Care,Hair Treatment Oil,105.9,221.1,1
