product_id,product_name,category,sub_category,cost_price,retail_price,unit_gross_margin,margin_percentage,is_active,total_orders_featured,total_units_sold,total_revenue_generated,total_profit_generated,sales_velocity_tier
PROD_558,Ceramic Mug (Pro),Home & Living,Ceramic Mug,107.51,152.68,45.17,29.58,true,150,194,29047.44,8190.50,Top Bestseller
PROD_559,Ceramic Mug (Lite),Home & Living,Ceramic Mug,83.60,149.13,65.53,43.94,true,164,213,31011.55,13204.75,Top Bestseller
PROD_560,Ceramic Mug (Premium),Home & Living,Ceramic Mug,62.43,88.90,26.47,29.78,true,167,220,19144.50,5409.90,Top Bestseller
PROD_561,LED Desk Lamp (Standard),Home & Living,LED Desk Lamp,174.25,375.16,200.91,53.55,true,169,221,80359.17,41849.92,Top Bestseller
PROD_562,LED Desk Lamp (Pro),Home & Living,LED Desk Lamp,106.19,225.46,119.27,52.9,true,152,200,44201.40,22963.40,Top Bestseller
PROD_563,LED Desk Lamp (Lite),Home & Living,LED Desk Lamp,147.44,317.90,170.46,53.62,true,155,204,63309.90,33232.14,Top Bestseller
PROD_564,LED Desk Lamp (Premium),Home & Living,LED Desk Lamp,35.77,77.50,41.73,53.85,true,174,226,17108.10,9024.08,Top Bestseller
PROD_565,Sunscreen SPF50 (Standard),Beauty & Care,Sunscreen SPF50,10.44,16.38,5.94,36.26,true,186,238,3813.18,1328.46,Top Bestseller
PROD_566,Sunscreen SPF50 (Pro),Beauty & Care,Sunscreen SPF50,127.18,250.95,123.77,49.32,false,184,238,58107.53,27838.69,Top Bestseller
PROD_567,Sunscreen SPF50 (Lite),Beauty & Care,Sunscreen SPF50,57.45,103.84,46.39,44.67,true,161,204,20705.77,8985.97,Top Bestseller
PROD_568,Sunscreen SPF50 (Premium),Beauty & Care,Sunscreen SPF50,77.77,116.17,38.40,33.06,false,168,221,24999.68,7812.51,Top Bestseller
PROD_569,Hydrating Serum (Standard),Beauty & Care,Hydrating Serum,154.77,274.50,119.73,43.62,true,162,215,57535.15,24259.60,Top Bestseller
PROD_570,Hydrating Serum (Pro),Beauty & Care,Hydrating Serum,47.09,85.34,38.25,44.82,true,175,225,18894.28,8299.03,Top Bestseller
PROD_571,Hydrating Serum (Lite),Beauty & Care,Hydrating Serum,96.61,211.74,115.13,54.37,true,146,191,39415.45,20962.94,Top Bestseller
PROD_572,Hydrating Serum (Premium),Beauty & Care,Hydrating Serum,71.81,144.07,72.26,50.16,true,150,199,27964.01,13673.82,Top Bestseller
PROD_573,Clay Mask (Standard),Beauty & Care,Clay Mask,74.14,121.95,47.81,39.2,true,172,217,25841.06,9752.68,Top Bestseller
PROD_574,Clay Mask (Pro),Beauty & Care,Clay Mask,142.47,250.97,108.50,43.23,true,147,177,43631.09,18413.90,Top Bestseller
PROD_575,Clay Mask (Lite),Beauty & Care,Clay Mask,107.16,175.82,68.66,39.05,true,169,221,37942.02,14259.66,Top Bestseller
PROD_576,Clay Mask (Premium),Beauty & Care,Clay Mask,48.99,75.48,26.49,35.1,true,154,209,15371.53,5132.62,Top Bestseller
PROD_577,Hair Treatment Oil (Standard),Beauty & Care,Hair Treatment Oil,52.87,71.78,18.91,26.34,true,153,206,14427.73,3536.51,Top Bestseller
PROD_578,Hair Treatment Oil (Pro),Beauty & Care,Hair Treatment Oil,95.91,165.80,69.89,42.15,false,167,211,34171.38,13934.37,Top Bestseller
PROD_579,Hair Treatment Oil (Lite),Beauty & Care,Hair Treatment Oil,106.25,221.42,115.17,52.01,true,171,229,49432.10,25100.85,Top Bestseller
PROD_580,Hair Treatment Oil (Premium),Beauty & Care,Hair Treatment Oil,105.90,221.10,115.20,52.1,true,173,215,46298.48,23529.98,Top Bestseller
