order_id,customer_id,date_key,order_date,ordered_at,order_status,is_successful_order,is_cancelled,is_returned,payment_method,shipping_cost,distinct_items_count,total_quantity,gross_order_amount,total_discount_amount,net_merchandise_amount,total_order_cost,total_gross_profit,total_paid_amount
ORD_20021,CUST_1395,2023-09-29,2023-09-29,2023-09-29 22:00:00,Completed,1,0,0,QRIS,7.75,1,1,126.72,0.00,126.72,65.13,61.59,134.47
ORD_20022,CUST_1369,2023-11-18,2023-11-18,2023-11-18 04:00:00,Shipped,1,0,0,E-Wallet (GoPay/OVO),0.00,2,5,628.72,17.07,611.65,416.71,194.94,611.65
ORD_20023,CUST_1133,2023-03-19,2023-03-19,2023-03-19 05:00:00,Completed,1,0,0,E-Wallet (GoPay/OVO),5.74,1,1,103.84,0.00,103.84,57.45,46.39,109.58
ORD_20024,CUST_1682,2024-01-03,2024-01-03,2024-01-03 11:00:00,Shipped,1,0,0,Virtual Account Bank Transfer,0.00,1,1,123.16,12.32,110.84,65.76,45.08,110.84
ORD_20025,CUST_1514,2023-09-14,2023-09-14,2023-09-14 08:00:00,Completed,1,0,0,BNPL,5.33,4,5,544.94,20.00,524.94,295.44,229.50,530.27
ORD_20026,CUST_1660,2023-06-18,2023-06-18,2023-06-18 12:00:00,Completed,1,0,0,E-Wallet (GoPay/OVO),0.00,2,3,225.32,10.45,214.87,129.62,85.25,214.87
ORD_20027,CUST_1565,2023-08-04,2023-08-04,2023-08-04 04:00:00,Cancelled,0,1,0,E-Wallet (GoPay/OVO),7.93,1,2,501.90,50.19,451.71,254.36,197.35,459.64
ORD_20028,CUST_1560,2023-05-08,2023-05-08,2023-05-08 08:00:00,Cancelled,0,1,0,QRIS,3.61,1,1,274.50,0.00,274.50,154.77,119.73,278.11
ORD_20029,CUST_1894,2024-05-11,2024-05-11,2024-05-11 19:00:00,Completed,1,0,0,Credit Card,2.99,1,1,91.12,4.56,86.56,56.64,29.92,89.55
ORD_20030,CUST_1021,2023-04-05,2023-04-05,2023-04-05 05:00:00,Returned,0,0,1,Virtual Account Bank Transfer,0.00,1,1,116.66,11.67,104.99,69.03,35.96,104.99
ORD_20031,CUST_2135,2024-02-17,2024-02-17,2024-02-17 00:00:00,Completed,1,0,0,Credit Card,4.16,1,1,140.18,0.00,140.18,65.23,74.95,144.34
ORD_20032,CUST_1281,2024-01-11,2024-01-11,2024-01-11 19:00:00,Completed,1,0,0,E-Wallet (GoPay/OVO),0.00,1,1,250.31,0.00,250.31,155.55,94.76,250.31
ORD_20033,CUST_1126,2024-04-10,2024-04-10,2024-04-10 09:00:00,Completed,1,0,0,BNPL,5.55,1,2,464.76,46.48,418.28,237.12,181.16,423.83
ORD_20034,CUST_1010,2024-02-18,2024-02-18,2024-02-18 03:00:00,Completed,1,0,0,Credit Card,0.00,1,2,233.32,0.00,233.32,138.06,95.26,233.32
ORD_20035,CUST_1387,2023-10-11,2023-10-11,2023-10-11 13:00:00,Shipped,1,0,0,QRIS,7.05,1,1,213.90,0.00,213.90,100.60,113.30,220.95
ORD_20036,CUST_2050,2023-08-12,2023-08-12,2023-08-12 14:00:00,Completed,1,0,0,BNPL,0.00,1,1,64.22,0.00,64.22,43.96,20.26,64.22
ORD_20037,CUST_1259,2023-07-22,2023-07-22,2023-07-22 12:00:00,Completed,1,0,0,Virtual Account Bank Transfer,3.00,2,3,633.83,0.00,633.83,346.34,287.49,636.83
ORD_20038,CUST_2114,2023-02-25,2023-02-25,2023-02-25 05:00:00,Shipped,1,0,0,BNPL,4.08,3,4,924.01,70.43,853.58,518.41,335.17,857.66
ORD_20039,CUST_1832,2023-05-22,2023-05-22,2023-05-22 07:00:00,Delivered,1,0,0,QRIS,7.44,2,4,363.56,0.00,363.56,178.34,185.22,371.00
ORD_20040,CUST_1264,2024-05-13,2024-05-13,2024-05-13 17:00:00,Completed,1,0,0,E-Wallet (GoPay/OVO),3.09,1,2,379.22,0.00,379.22,270.06,109.16,382.31
ORD_20041,CUST_1502,2023-08-22,2023-08-22,2023-08-22 19:00:00,Completed,1,0,0,Credit Card,8.66,1,1,250.31,0.00,250.31,155.55,94.76,258.97
ORD_20042,CUST_2117,2023-11-05,2023-11-05,2023-11-05 15:00:00,Completed,1,0,0,Credit Card,4.62,1,1,250.97,0.00,250.97,142.47,108.50,255.59
ORD_20043,CUST_1511,2024-05-25,2024-05-25,2024-05-25 12:00:00,Completed,1,0,0,QRIS,6.57,1,1,232.38,0.00,232.38,118.56,113.82,238.95
ORD_20044,CUST_1840,2024-02-06,2024-02-06,2024-02-06 04:00:00,Delivered,1,0,0,E-Wallet (GoPay/OVO),4.34,2,2,268.42,26.84,241.58,138.39,103.19,245.92
ORD_20045,CUST_1834,2023-09-25,2023-09-25,2023-09-25 20:00:00,Completed,1,0,0,E-Wallet (GoPay/OVO),0.00,1,1,209.52,0.00,209.52,135.69,73.83,209.52
ORD_20046,CUST_1948,2023-05-13,2023-05-13,2023-05-13 02:00:00,Completed,1,0,0,BNPL,0.00,3,3,477.85,7.01,470.84,273.14,197.70,470.84
ORD_20047,CUST_1826,2024-04-13,2024-04-13,2024-04-13 22:00:00,Shipped,1,0,0,QRIS,5.73,1,1,199.67,0.00,199.67,124.34,75.33,205.40
ORD_20048,CUST_1577,2024-03-11,2024-03-11,2024-03-11 00:00:00,Completed,1,0,0,Virtual Account Bank Transfer,3.86,1,1,171.31,0.00,171.31,107.73,63.58,175.17
ORD_20049,CUST_1046,2023-10-21,2023-10-21,2023-10-21 23:00:00,Completed,1,0,0,Credit Card,8.45,2,2,204.22,0.00,204.22,100.90,103.32,212.67
ORD_20050,CUST_1536,2024-03-13,2024-03-13,2024-03-13 02:00:00,Returned,0,0,1,Virtual Account Bank Transfer,0.00,2,4,674.42,41.26,633.16,426.92,206.24,633.16
ORD_20051,CUST_1243,2023-06-03,2023-06-03,2023-06-03 15:00:00,Completed,1,0,0,Credit Card,0.00,1,2,177.80,0.00,177.80,124.86,52.94,177.80
ORD_20052,CUST_1115,2024-03-17,2024-03-17,2024-03-17 04:00:00,Completed,1,0,0,Credit Card,4.40,1,1,246.78,0.00,246.78,177.20,69.58,251.18
ORD_20053,CUST_2002,2023-05-17,2023-05-17,2023-05-17 06:00:00,Completed,1,0,0,E-Wallet (GoPay/OVO),4.23,1,1,220.56,0.00,220.56,150.69,69.87,224.79
ORD_20054,CUST_1161,2023-12-01,2023-12-01,2023-12-01 14:00:00,Completed,1,0,0,QRIS,3.95,1,2,182.24,9.11,173.13,113.28,59.85,177.08
ORD_20055,CUST_1498,2023-05-08,2023-05-08,2023-05-08 12:00:00,Completed,1,0,0,QRIS,0.00,2,3,108.24,0.00,108.24,69.87,38.37,108.24
ORD_20056,CUST_1439,2023-07-12,2023-07-12,2023-07-12 18:00:00,Shipped,1,0,0,Virtual Account Bank Transfer,0.00,1,2,500.62,25.03,475.59,311.10,164.49,475.59
ORD_20057,CUST_2133,2023-04-26,2023-04-26,2023-04-26 20:00:00,Completed,1,0,0,QRIS,0.00,1,1,116.17,0.00,116.17,77.77,38.40,116.17
ORD_20058,CUST_1181,2023-07-19,2023-07-19,2023-07-19 15:00:00,Completed,1,0,0,QRIS,6.90,1,1,199.67,0.00,199.67,124.34,75.33,206.57
ORD_20059,CUST_1039,2023-05-13,2023-05-13,2023-05-13 20:00:00,Completed,1,0,0,Credit Card,3.41,1,1,91.12,0.00,91.12,56.64,34.48,94.53
ORD_20060,CUST_1101,2023-09-14,2023-09-14,2023-09-14 15:00:00,Completed,1,0,0,E-Wallet (GoPay/OVO),8.91,2,2,166.78,13.07,153.71,108.42,45.29,162.62
ORD_20061,CUST_1495,2024-03-31,2024-03-31,2024-03-31 01:00:00,Completed,1,0,0,QRIS,8.42,1,1,148.06,0.00,148.06,72.88,75.18,156.48
ORD_20062,CUST_1140,2024-03-23,2024-03-23,2024-03-23 13:00:00,Completed,1,0,0,Credit Card,0.00,1,3,655.47,0.00,655.47,385.77,269.70,655.47
ORD_20063,CUST_1506,2024-06-19,2024-06-19,2024-06-19 09:00:00,Cancelled,0,1,0,Credit Card,4.06,2,2,392.34,0.00,392.34,202.91,189.43,396.40
ORD_20064,CUST_1929,2023-11-28,2023-11-28,2023-11-28 17:00:00,Completed,1,0,0,Credit Card,6.62,1,1,91.12,0.00,91.12,56.64,34.48,97.74
ORD_20065,CUST_2167,2023-05-07,2023-05-07,2023-05-07 09:00:00,Completed,1,0,0,E-Wallet (GoPay/OVO),0.00,2,4,604.62,0.00,604.62,380.34,224.28,604.62
ORD_20066,CUST_1754,2023-03-31,2023-03-31,2023-03-31 11:00:00,Delivered,1,0,0,E-Wallet (GoPay/OVO),8.87,1,1,317.90,0.00,317.90,147.44,170.46,326.77
ORD_20067,CUST_1062,2024-02-07,2024-02-07,2024-02-07 05:00:00,Completed,1,0,0,E-Wallet (GoPay/OVO),4.25,1,1,309.23,0.00,309.23,173.47,135.76,313.48
ORD_20068,CUST_1112,2025-05-22,2025-05-22,2025-05-22 05:00:00,Completed,1,0,0,QRIS,6.91,1,1,126.72,6.34,120.38,65.13,55.25,127.29
ORD_20069,CUST_1520,2024-06-10,2024-06-10,2024-06-10 11:00:00,Completed,1,0,0,E-Wallet (GoPay/OVO),4.74,1,1,220.56,0.00,220.56,150.69,69.87,225.30
ORD_20070,CUST_2056,2023-05-09,2023-05-09,2023-05-09 02:00:00,Completed,1,0,0,Virtual Account Bank Transfer,0.00,1,1,236.90,0.00,236.90,157.56,79.34,236.90
ORD_20071,CUST_1474,2023-03-04,2023-03-04,2023-03-04 08:00:00,Completed,1,0,0,Credit Card,6.59,1,2,143.56,7.18,136.38,105.74,30.64,142.97
ORD_20072,CUST_2165,2023-11-15,2023-11-15,2023-11-15 02:00:00,Shipped,1,0,0,BNPL,0.00,3,4,548.74,12.34,536.40,348.38,188.02,536.40
ORD_20073,CUST_1809,2024-03-14,2024-03-14,2024-03-14 11:00:00,Shipped,1,0,0,BNPL,0.00,1,1,250.95,0.00,250.95,127.18,123.77,250.95
ORD_20074,CUST_1058,2023-11-03,2023-11-03,2023-11-03 09:00:00,Shipped,1,0,0,Credit Card,0.00,3,6,1008.20,0.00,1008.20,595.04,413.16,1008.20
ORD_20075,CUST_2186,2024-07-21,2024-07-21,2024-07-21 06:00:00,Completed,1,0,0,Virtual Account Bank Transfer,4.45,2,2,385.51,0.00,385.51,239.08,146.43,389.96
ORD_20076,CUST_1026,2023-04-13,2023-04-13,2023-04-13 23:00:00,Completed,1,0,0,E-Wallet (GoPay/OVO),6.37,1,2,296.12,44.42,251.70,145.76,105.94,258.07
ORD_20077,CUST_1716,2024-03-09,2024-03-09,2024-03-09 01:00:00,Completed,1,0,0,QRIS,3.50,1,1,151.42,0.00,151.42,70.51,80.91,154.92
ORD_20078,CUST_1616,2023-07-19,2023-07-19,2023-07-19 11:00:00,Delivered,1,0,0,E-Wallet (GoPay/OVO),0.00,3,5,984.16,35.53,948.63,566.44,382.19,948.63
ORD_20079,CUST_1491,2023-10-10,2023-10-10,2023-10-10 07:00:00,Delivered,1,0,0,Credit Card,3.75,2,2,243.38,0.00,243.38,134.16,109.22,247.13
ORD_20080,CUST_1773,2023-09-18,2023-09-18,2023-09-18 07:00:00,Completed,1,0,0,Virtual Account Bank Transfer,6.61,4,6,806.91,24.63,782.28,441.30,340.98,788.89
ORD_20081,CUST_1702,2024-06-03,2024-06-03,2024-06-03 17:00:00,Completed,1,0,0,Virtual Account Bank Transfer,7.17,1,1,213.90,0.00,213.90,100.60,113.30,221.07
ORD_20082,CUST_1229,2024-08-31,2024-08-31,2024-08-31 14:00:00,Returned,0,0,1,QRIS,0.00,1,3,885.24,0.00,885.24,411.72,473.52,885.24
ORD_20083,CUST_2096,2023-12-15,2023-12-15,2023-12-15 20:00:00,Shipped,1,0,0,BNPL,4.18,1,2,618.46,0.00,618.46,346.94,271.52,622.64
ORD_20084,CUST_1673,2023-09-24,2023-09-24,2023-09-24 00:00:00,Completed,1,0,0,E-Wallet (GoPay/OVO),0.00,2,3,351.11,0.00,351.11,193.61,157.50,351.11
ORD_20085,CUST_2168,2024-04-29,2024-04-29,2024-04-29 00:00:00,Completed,1,0,0,Credit Card,6.18,1,1,145.12,21.77,123.35,103.92,19.43,129.53
ORD_20086,CUST_1646,2024-08-23,2024-08-23,2024-08-23 05:00:00,Completed,1,0,0,QRIS,7.18,1,1,123.16,0.00,123.16,65.76,57.40,130.34
ORD_20087,CUST_1842,2023-07-26,2023-07-26,2023-07-26 05:00:00,Shipped,1,0,0,QRIS,5.66,1,3,484.71,0.00,484.71,223.20,261.51,490.37
ORD_20088,CUST_2123,2023-08-19,2023-08-19,2023-08-19 18:00:00,Completed,1,0,0,E-Wallet (GoPay/OVO),0.00,1,1,250.95,0.00,250.95,127.18,123.77,250.95
ORD_20089,CUST_1601,2023-04-13,2023-04-13,2023-04-13 08:00:00,Completed,1,0,0,Credit Card,0.00,3,4,405.16,7.43,397.73,224.42,173.31,397.73
ORD_20090,CUST_1079,2024-05-23,2024-05-23,2024-05-23 12:00:00,Cancelled,0,1,0,Virtual Account Bank Transfer,3.31,1,1,141.39,0.00,141.39,75.73,65.66,144.70
ORD_20091,CUST_2023,2023-01-14,2023-01-14,2023-01-14 05:00:00,Completed,1,0,0,E-Wallet (GoPay/OVO),7.15,2,4,616.09,0.00,616.09,290.40,325.69,623.24
ORD_20092,CUST_1615,2023-05-12,2023-05-12,2023-05-12 11:00:00,Completed,1,0,0,QRIS,0.00,1,1,165.80,16.58,149.22,95.91,53.31,149.22
ORD_20093,CUST_1965,2024-09-02,2024-09-02,2024-09-02 17:00:00,Completed,1,0,0,Virtual Account Bank Transfer,2.66,1,2,207.68,0.00,207.68,114.90,92.78,210.34
ORD_20094,CUST_1356,2025-02-09,2025-02-09,2025-02-09 13:00:00,Delivered,1,0,0,E-Wallet (GoPay/OVO),2.77,1,1,157.89,15.79,142.10,114.06,28.04,144.87
ORD_20095,CUST_1299,2023-05-13,2023-05-13,2023-05-13 16:00:00,Cancelled,0,1,0,E-Wallet (GoPay/OVO),0.00,1,1,165.80,0.00,165.80,95.91,69.89,165.80
ORD_20096,CUST_1834,2023-09-26,2023-09-26,2023-09-26 18:00:00,Completed,1,0,0,Credit Card,6.73,2,2,432.30,0.00,432.30,247.30,185.00,439.03
ORD_20097,CUST_1833,2023-07-06,2023-07-06,2023-07-06 21:00:00,Completed,1,0,0,BNPL,0.00,3,3,340.78,10.88,329.90,199.36,130.54,329.90
ORD_20098,CUST_1761,2024-01-09,2024-01-09,2024-01-09 09:00:00,Completed,1,0,0,QRIS,2.74,2,3,286.33,12.84,273.49,201.98,71.51,276.23
ORD_20099,CUST_2041,2024-09-10,2024-09-10,2024-09-10 07:00:00,Completed,1,0,0,QRIS,0.00,1,1,152.68,0.00,152.68,107.51,45.17,152.68
ORD_20100,CUST_1962,2023-06-11,2023-06-11,2023-06-11 21:00:00,Cancelled,0,1,0,BNPL,0.00,2,2,413.53,12.79,400.74,242.80,157.94,400.74
ORD_20101,CUST_1267,2024-04-23,2024-04-23,2024-04-23 16:00:00,Completed,1,0,0,BNPL,4.28,4,5,999.38,37.52,961.86,489.70,472.16,966.14
ORD_20102,CUST_1115,2024-05-28,2024-05-28,2024-05-28 10:00:00,Completed,1,0,0,Credit Card,0.00,1,1,246.78,0.00,246.78,177.20,69.58,246.78
ORD_20103,CUST_1539,2024-05-01,2024-05-01,2024-05-01 06:00:00,Completed,1,0,0,QRIS,0.00,2,2,285.68,0.00,285.68,153.47,132.21,285.68
ORD_20104,CUST_1941,2024-09-16,2024-09-16,2024-09-16 19:00:00,Completed,1,0,0,E-Wallet (GoPay/OVO),0.00,2,2,134.12,1.79,132.33,87.03,45.30,132.33
ORD_20105,CUST_1928,2023-05-25,2023-05-25,2023-05-25 08:00:00,Completed,1,0,0,BNPL,3.62,2,2,254.20,0.00,254.20,158.15,96.05,257.82
ORD_20106,CUST_1915,2023-05-12,2023-05-12,2023-05-12 18:00:00,Completed,1,0,0,BNPL,6.30,2,2,353.76,20.97,332.79,203.73,129.06,339.09
ORD_20107,CUST_1697,2023-08-10,2023-08-10,2023-08-10 02:00:00,Completed,1,0,0,Credit Card,3.84,2,4,563.22,0.00,563.22,321.86,241.36,567.06
ORD_20108,CUST_1200,2023-10-04,2023-10-04,2023-10-04 19:00:00,Completed,1,0,0,QRIS,0.00,1,1,250.97,0.00,250.97,142.47,108.50,250.97
ORD_20109,CUST_1717,2023-09-03,2023-09-03,2023-09-03 06:00:00,Cancelled,0,1,0,QRIS,7.47,1,1,309.23,0.00,309.23,173.47,135.76,316.70
ORD_20110,CUST_1649,2023-11-13,2023-11-13,2023-11-13 22:00:00,Completed,1,0,0,E-Wallet (GoPay/OVO),4.81,1,1,126.72,12.67,114.05,65.13,48.92,118.86
ORD_20111,CUST_1804,2023-03-24,2023-03-24,2023-03-24 04:00:00,Completed,1,0,0,Credit Card,8.18,1,1,54.38,0.00,54.38,31.12,23.26,62.56
ORD_20112,CUST_1146,2024-04-17,2024-04-17,2024-04-17 04:00:00,Completed,1,0,0,E-Wallet (GoPay/OVO),3.55,1,1,103.84,5.19,98.65,57.45,41.20,102.20
ORD_20113,CUST_1757,2023-05-24,2023-05-24,2023-05-24 16:00:00,Completed,1,0,0,Credit Card,0.00,1,1,157.89,0.00,157.89,114.06,43.83,157.89
ORD_20114,CUST_2003,2023-10-15,2023-10-15,2023-10-15 13:00:00,Completed,1,0,0,BNPL,7.68,1,2,544.70,0.00,544.70,313.34,231.36,552.38
ORD_20115,CUST_1466,2023-04-01,2023-04-01,2023-04-01 13:00:00,Completed,1,0,0,BNPL,6.32,2,2,158.63,4.65,153.98,103.99,49.99,160.30
ORD_20116,CUST_1017,2024-07-22,2024-07-22,2024-07-22 05:00:00,Shipped,1,0,0,QRIS,4.67,1,1,54.38,0.00,54.38,31.12,23.26,59.05
ORD_20117,CUST_1842,2023-08-12,2023-08-12,2023-08-12 20:00:00,Completed,1,0,0,Credit Card,3.61,2,2,388.17,24.68,363.49,252.93,110.56,367.10
ORD_20118,CUST_1592,2024-08-07,2024-08-07,2024-08-07 02:00:00,Completed,1,0,0,Credit Card,4.82,1,1,144.07,7.20,136.87,71.81,65.06,141.69
ORD_20119,CUST_1021,2023-12-17,2023-12-17,2023-12-17 03:00:00,Completed,1,0,0,Virtual Account Bank Transfer,0.00,1,2,484.22,24.21,460.01,276.22,183.79,460.01
ORD_20120,CUST_1404,2024-01-13,2024-01-13,2024-01-13 08:00:00,Completed,1,0,0,Virtual Account Bank Transfer,0.00,3,3,189.53,0.00,189.53,105.22,84.31,189.53
ORD_20121,CUST_1103,2024-03-05,2024-03-05,2024-03-05 00:00:00,Cancelled,0,1,0,BNPL,6.29,2,2,456.47,24.68,431.79,309.12,122.67,438.08
ORD_20122,CUST_2050,2023-12-09,2023-12-09,2023-12-09 21:00:00,Completed,1,0,0,Virtual Account Bank Transfer,5.29,2,3,446.30,0.00,446.30,214.56,231.74,451.59
ORD_20123,CUST_1991,2023-08-25,2023-08-25,2023-08-25 16:00:00,Completed,1,0,0,E-Wallet (GoPay/OVO),0.00,1,1,221.42,11.07,210.35,106.25,104.10,210.35
ORD_20124,CUST_1496,2023-01-27,2023-01-27,2023-01-27 21:00:00,Shipped,1,0,0,QRIS,0.00,2,4,872.17,36.35,835.82,498.03,337.79,835.82
ORD_20125,CUST_1338,2023-07-24,2023-07-24,2023-07-24 04:00:00,Completed,1,0,0,QRIS,8.93,2,2,514.46,0.00,514.46,294.78,219.68,523.39
ORD_20126,CUST_1086,2024-02-25,2024-02-25,2024-02-25 20:00:00,Completed,1,0,0,Virtual Account Bank Transfer,0.00,2,2,170.63,9.42,161.21,116.77,44.44,161.21
ORD_20127,CUST_1433,2024-05-29,2024-05-29,2024-05-29 03:00:00,Shipped,1,0,0,Virtual Account Bank Transfer,0.00,3,3,355.24,0.00,355.24,187.94,167.30,355.24
ORD_20128,CUST_1677,2023-06-17,2023-06-17,2023-06-17 17:00:00,Completed,1,0,0,QRIS,0.00,3,3,554.47,1.60,552.87,309.74,243.13,552.87
ORD_20129,CUST_1271,2023-10-09,2023-10-09,2023-10-09 21:00:00,Cancelled,0,1,0,Virtual Account Bank Transfer,7.71,2,4,773.83,66.17,707.66,533.75,173.91,715.37
ORD_20130,CUST_1924,2023-10-30,2023-10-30,2023-10-30 07:00:00,Delivered,1,0,0,E-Wallet (GoPay/OVO),3.59,1,1,221.42,0.00,221.42,106.25,115.17,225.01
ORD_20131,CUST_1118,2023-08-26,2023-08-26,2023-08-26 08:00:00,Cancelled,0,1,0,BNPL,6.01,1,1,280.84,0.00,280.84,161.28,119.56,286.85
ORD_20132,CUST_1935,2023-10-20,2023-10-20,2023-10-20 10:00:00,Completed,1,0,0,Virtual Account Bank Transfer,7.20,4,4,891.90,0.00,891.90,523.42,368.48,899.10
ORD_20133,CUST_1560,2023-10-07,2023-10-07,2023-10-07 19:00:00,Completed,1,0,0,BNPL,0.00,1,1,130.74,0.00,130.74,88.59,42.15,130.74
ORD_20134,CUST_2093,2024-04-15,2024-04-15,2024-04-15 13:00:00,Completed,1,0,0,Virtual Account Bank Transfer,0.00,2,3,187.06,0.00,187.06,104.62,82.44,187.06
ORD_20135,CUST_1101,2023-11-29,2023-11-29,2023-11-29 17:00:00,Completed,1,0,0,Virtual Account Bank Transfer,2.85,1,1,170.75,0.00,170.75,77.65,93.10,173.60
ORD_20136,CUST_2119,2023-08-20,2023-08-20,2023-08-20 21:00:00,Completed,1,0,0,E-Wallet (GoPay/OVO),6.22,1,1,157.70,0.00,157.70,74.94,82.76,163.92
ORD_20137,CUST_1770,2023-08-21,2023-08-21,2023-08-21 16:00:00,Completed,1,0,0,QRIS,0.00,2,2,181.98,7.88,174.10,89.54,84.56,174.10
ORD_20138,CUST_2182,2024-05-01,2024-05-01,2024-05-01 13:00:00,Completed,1,0,0,Virtual Account Bank Transfer,0.00,4,4,925.35,23.00,902.35,591.02,311.33,902.35
ORD_20139,CUST_1850,2023-09-11,2023-09-11,2023-09-11 23:00:00,Completed,1,0,0,Virtual Account Bank Transfer,8.59,2,4,567.54,7.43,560.11,362.64,197.47,568.70
ORD_20140,CUST_1758,2024-05-26,2024-05-26,2024-05-26 17:00:00,Delivered,1,0,0,QRIS,0.00,2,2,316.58,22.55,294.03,162.83,131.20,294.03
ORD_20141,CUST_2000,2023-09-12,2023-09-12,2023-09-12 22:00:00,Delivered,1,0,0,QRIS,4.21,1,1,157.70,0.00,157.70,74.94,82.76,161.91
ORD_20142,CUST_1605,2024-09-29,2024-09-29,2024-09-29 17:00:00,Completed,1,0,0,BNPL,6.93,2,2,363.40,27.45,335.95,217.20,118.75,342.88
ORD_20143,CUST_1309,2023-07-12,2023-07-12,2023-07-12 03:00:00,Shipped,1,0,0,E-Wallet (GoPay/OVO),3.50,1,1,220.56,0.00,220.56,150.69,69.87,224.06
ORD_20144,CUST_1738,2024-03-05,2024-03-05,2024-03-05 07:00:00,Completed,1,0,0,QRIS,0.00,1,1,77.50,7.75,69.75,35.77,33.98,69.75
ORD_20145,CUST_1053,2024-04-25,2024-04-25,2024-04-25 03:00:00,Completed,1,0,0,Credit Card,0.00,1,1,130.74,0.00,130.74,88.59,42.15,130.74
ORD_20146,CUST_2031,2024-05-14,2024-05-14,2024-05-14 04:00:00,Completed,1,0,0,E-Wallet (GoPay/OVO),0.00,2,2,74.59,0.00,74.59,45.89,28.70,74.59
ORD_20147,CUST_1250,2024-10-05,2024-10-05,2024-10-05 15:00:00,Completed,1,0,0,BNPL,5.04,1,2,32.02,0.00,32.02,23.22,8.80,37.06
ORD_20148,CUST_1455,2024-05-08,2024-05-08,2024-05-08 09:00:00,Shipped,1,0,0,Credit Card,5.20,1,1,209.52,0.00,209.52,135.69,73.83,214.72
